key,key:userAccount,employeeCode,languages,workStartMoment,briefBio,salary,photo,key:airline
agent-01,user-account-agent-01,JA546694,"Español, Inglés, Francés",2024/11/22 08:00,Agente con amplia experiencia en gestión de incidencias post-vuelo y atención al cliente.,EUR 50000.00,https://example.com/photo/agent-01.jpg,airline-01
agent-02,user-account-agent-02,PAP546694,"Español, Inglés, Francés",2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba1,user-account-agent-02,PA000001,L,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba2,user-account-agent-02,PA000002,Lo,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba3,user-account-agent-02,PA000003,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba4,user-account-agent-02,PA000004,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba5,user-account-agent-02,PA000005,โลเร็ม อิปซัม,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba6,user-account-agent-02,PA000006,لوريم إيبسوم,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba7,user-account-agent-02,PA000007,洛伦·伊普森,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba8,user-account-agent-02,PA000008,<marquee>Hacked</marquee>,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba9,user-account-agent-02,PA000009,<script>alert(‘Hacked!’);</script>,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba10,user-account-agent-02,PA000010,' or 'A' = 'A,2024/11/23 08:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba11,user-account-agent-02,PA000011,"Español, Inglés, Francés",2000/01/01 0:00,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
agent-02-prueba12,user-account-agent-02,PA000012,"Español, Inglés, Francés",2000/01/01 0:01,"Especialista en asistencia al pasajero, resolviendo incidencias con eficiencia y profesionalismo.",EUR 55000.00,https://example.com/photo/agent-02.jpg,airline-02
